url,WeekID,Song,Performer,SongID,Instance,Peak Position,Weeks on Chart
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Bartier Cardi,Cardi B Featuring 21 Savage,Bartier CardiCardi B Featuring 21 Savage,1,14,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Black & Chinese,Huncho Jack,Black & ChineseHuncho Jack,1,71,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Saint,Huncho Jack,SaintHuncho Jack,1,92,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,La Modelo,Ozuna x Cardi B,La ModeloOzuna x Cardi B,1,52,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Stir Fry,Migos,Stir FryMigos,1,94,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Tell Me You Love Me,Demi Lovato,Tell Me You Love MeDemi Lovato,2,53,4
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Eye 2 Eye,Huncho Jack Featuring Takeoff,Eye 2 EyeHuncho Jack Featuring Takeoff,1,65,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Modern Slavery,Huncho Jack,Modern SlaveryHuncho Jack,1,68,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,That's What I Like,Bruno Mars,That's What I LikeBruno Mars,2,1,49
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Ric Flair Drip,Offset & Metro Boomin,Ric Flair DripOffset & Metro Boomin,1,44,8
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,6,38,11
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,The Way Life GoesLil Uzi Vert Featuring Nicki Minaj,1,24,17
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,The Weekend,SZA,The WeekendSZA,1,33,21
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Dubai Shit,Huncho Jack Featuring Offset,Dubai ShitHuncho Jack Featuring Offset,1,83,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Huncho Jack,Huncho Jack,Huncho JackHuncho Jack,1,87,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Motorcycle Patches,Huncho Jack,Motorcycle PatchesHuncho Jack,1,90,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Candy Paint,Post Malone,Candy PaintPost Malone,1,50,9
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Codeine Dreaming,Kodak Black Featuring Lil Wayne,Codeine DreamingKodak Black Featuring Lil Wayne,1,52,4
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,The Race,Tay-K,The RaceTay-K,1,44,19
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley)Imagine Dragons + Khalid,1,69,1
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Thunder,Imagine Dragons,ThunderImagine Dragons,1,4,34
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,My Dawg,Lil Baby,My DawgLil Baby,1,77,2
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Betrayed,Lil Xan,BetrayedLil Xan,1,67,6
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Pick It Up,Famous Dex Featuring A$AP Rocky,Pick It UpFamous Dex Featuring A$AP Rocky,1,73,6
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Too Good At Goodbyes,Sam Smith,Too Good At GoodbyesSam Smith,1,4,15
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Too Much To Ask,Niall Horan,Too Much To AskNiall Horan,3,87,9
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Walk On Water,Eminem Featuring Beyonce,Walk On WaterEminem Featuring Beyonce,1,14,4
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,What About Us,P!nk,What About UsP!nk,1,13,20
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,What Lovers Do,Maroon 5 Featuring SZA,What Lovers DoMaroon 5 Featuring SZA,1,9,17
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,River,Eminem Featuring Ed Sheeran,RiverEminem Featuring Ed Sheeran,1,43,4
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Ice Tray,Quavo & Lil Yachty,Ice TrayQuavo & Lil Yachty,1,62,3
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Five More Minutes,Scotty McCreery,Five More MinutesScotty McCreery,1,89,3
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Juice,Yo Gotti,JuiceYo Gotti,1,93,3
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Unforgettable,French Montana Featuring Swae Lee,UnforgettableFrench Montana Featuring Swae Lee,1,3,37
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Rubbin Off The Paint,YBN Nahmir,Rubbin Off The PaintYBN Nahmir,1,46,7
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha","HomeMachine Gun Kelly, X Ambassadors & Bebe Rexha",1,90,2
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Him & I,G-Eazy & Halsey,Him & IG-Eazy & Halsey,1,21,3
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Marry Me,Thomas Rhett,Marry MeThomas Rhett,1,45,3
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Kooda,6ix9ine,Kooda6ix9ine,1,50,3
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Echame La Culpa,Luis Fonsi & Demi Lovato,Echame La CulpaLuis Fonsi & Demi Lovato,1,47,5
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Gummo,6ix9ine,Gummo6ix9ine,1,12,6
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Let You Down,NF,Let You DownNF,1,16,10
https://www.billboard.com/charts/hot-100/2018-01-06,1/6/2018,Plain Jane,A$AP Ferg Featuring Nicki Minaj,Plain JaneA$AP Ferg Featuring Nicki Minaj,1,31,13
